2230,2822,9220
6967,6016,3899
9498,7394,5544
4002,1811,7105
1661,9835,8955
2407,7540,6915
9814,5542,4716
4146,6939,2077
8513,2105,3707
2381,4316,3196
4836,9414,2252
248,9589,2800
2080,4006,2166
4533,7227,3731
3210,5286,2212
3671,2496,4194
5940,7967,2878
1468,6979,9208
7350,8841,1469
2245,6459,1408
5893,2175,9193
8036,1955,7253
9589,3492,1555
1911,7493,8890
5241,2510,7325
3443,6824,8545
5726,85,5922
9661,1717,9761
9855,6316,8123
8925,3242,8585
6224,2503,3256
8502,3318,3561
5522,6339,8391
4703,5784,8412
4042,5445,8952
5889,4384,2177
4703,3753,5877
1832,7736,8400
5764,6446,4359
5201,8133,1167
1599,7009,7027
5130,6506,9733
1584,5345,127
8335,1280,5560
2142,8064,8759
1099,6311,3225
8318,8293,403
5086,8967,3951
9756,2428,9872
2736,6652,2219
7354,2364,1905
5811,4629,6291
2409,9412,1521
3316,6438,6980
8977,2583,4822
7395,6489,6609
1841,3830,6170
4711,8400,6753
4341,121,8403
295,4437,3452
3179,3367,9332
1074,3467,4483
7691,2189,6392
1486,7167,4570
3980,9883,3497
7978,6627,255
1736,9499,390
7022,7899,2504
8517,3674,4511
758,9085,1549
8695,3505,4644
3830,4212,6887
2710,9827,1444
5507,1238,6645
3878,1898,8871
2957,9015,1852
6526,2342,1414
8603,1433,9970
9951,8499,8033
8031,1244,4632
6732,2753,67
4476,8067,689
2150,2079,2753
5504,9923,4608
2156,6899,6607
6828,3167,9083
9249,8529,5275
1783,9056,74
7290,3749,5983
4994,5720,2939
4797,4899,5972
1701,8060,6018
3065,4327,3249
4421,2265,5384
411,6205,1781
7761,8852,5390
4924,9447,6332
9217,2987,7810
8650,6681,2953
9637,2434,2606
3347,381,1838
264,3348,9913
2547,6276,2999
1900,4357,989
3663,6787,4296
8867,6944,9752
5872,1636,8306
5291,2971,8774
2604,7663,8850
734,5244,2251
167,7677,7249
3032,5446,555
5664,6845,4746
8996,323,1966
6701,198,3048
4590,6894,1068
5667,6422,5325
5535,7338,4795
6083,2087,6686
5094,2501,6480
327,9697,5280
2806,8440,8967
9974,8500,8190
6990,3654,6702
1415,4128,2835
7774,8396,6019
3680,6851,237
2783,19,4805
5397,7126,9407
2364,5504,3584
1930,4550,7320
6236,9510,6262
348,5946,1804
6206,2541,9481
7324,1649,8559
9027,9818,1238
272,6293,1975
2494,2671,252
249,7896,8351
2703,5151,4443
5209,84,4159
4507,7820,6277
4122,3439,5382
8883,2825,2959
8447,7348,9616
