1,1517,5260
2,2956,3580
2,4052,6863
2,9310,7776
3,9406,1086
3,7984,781
3,9901,4977
3,206,9771
4,1047,2743
4,4005,1168
5,2230,9911
7,1501,8347
8,4437,838
8,7075,8898
8,7260,262
8,3868,6975
10,4957,6258
10,4685,5770
11,3823,1524
13,2347,5827
14,3636,7646
14,8771,5892
21,5792,7906
21,8634,4898
21,2378,8692
21,515,4836
22,8720,8053
23,4552,7165
23,14,5885
27,6633,659
29,7893,5463
30,180,2104
31,5471,950
31,5075,385
33,2583,9598
34,9804,5955
35,953,7756
36,7984,2602
36,8379,4819
38,9712,9406
38,4259,6221
42,942,2839
42,6643,6481
44,5843,6832
44,286,2093
46,6557,1427
46,4649,9324
46,3140,5595
47,4820,7993
47,8461,1818
47,1110,3417
49,6552,448
49,184,6374
52,3213,2082
53,3450,4338
55,1515,4053
55,5513,7765
56,7049,1713
56,3822,368
56,6932,1290
57,4744,2351
58,1059,5393
58,8482,7971
58,7825,5111
58,6379,8231
59,1513,1910
59,4559,7012
60,3855,6938
61,7014,8858
62,5266,4643
63,6425,3535
63,192,6726
64,9346,9508
64,4665,1213
65,9163,4945
65,8980,9525
67,753,7245
67,6379,9220
68,7386,2309
68,876,6248
72,9862,513
72,6976,5254
77,4483,9343
77,5140,7869
82,8926,2017
83,902,374
84,3008,1997
84,3810,5588
88,8809,523
88,518,8473
89,6460,6455
90,1047,64
93,5441,8926
93,6939,6285
96,5257,2766
100,1102,3872
100,7427,8882
101,224,3062
102,1917,838
102,2243,2574
103,1642,8464
103,1165,4229
104,3867,445
108,9795,6659
108,5547,5725
109,488,848
112,2225,3961
113,115,3467
113,9103,1931
114,9071,9161
116,6600,5865
116,3659,1221
118,6553,5453
118,1875,8495
118,1321,9390
121,2710,9888
121,3828,5189
122,1335,7092
123,5538,6732
123,770,7797
124,2706,9702
125,6325,238
125,5119,5570
125,1076,9458
126,9658,6462
129,8153,9392
131,1559,9285
132,9656,7225
132,8845,8260
133,8859,3633
134,2496,8484
135,9318,9434
136,5465,979
136,4426,7365
136,2716,1506
136,2138,8278
137,5942,5807
138,4966,1721
140,9061,8176
141,2147,508
144,9777,4740
145,770,7537
146,4587,4159
146,3906,4946
147,439,662
147,8105,5355
